TRACT,GEOID,TRACTCE,NAME,TRACT_NAME,NAMELSAD,FULL_NAME,Total_Estimate,Total_Margin_of_Error,Below_poverty_level_Estimate,Below_poverty_level_Margin_of_Error,Percent_below_poverty_level_Estimate,Percent_below_poverty_level_Margin_of_Error
105.0,17019001050,001050,Census Tract 105,Census Tract 105,Census Tract 105,"Census Tract 105, Champaign County, Illinois","4,372",±389,94,±57,2.2%,±1.3
106.01,17019010601,010601,Census Tract 106.01,Census Tract 106.01,Census Tract 106.01,"Census Tract 106.01, Champaign County, Illinois","6,254",±526,129,±134,2.1%,±2.2
106.03,17019010603,010603,Census Tract 106.03,Census Tract 106.03,Census Tract 106.03,"Census Tract 106.03, Champaign County, Illinois","7,691",±498,460,±265,6.0%,±3.5
106.04,17019010604,010604,Census Tract 106.04,Census Tract 106.04,Census Tract 106.04,"Census Tract 106.04, Champaign County, Illinois","2,797",±449,328,±200,11.7%,±7.3
107.01,17019010701,010701,Census Tract 107.01,Census Tract 107.01,Census Tract 107.01,"Census Tract 107.01, Champaign County, Illinois","3,864",±366,165,±164,4.3%,±4.1
107.02,17019010702,010702,Census Tract 107.02,Census Tract 107.02,Census Tract 107.02,"Census Tract 107.02, Champaign County, Illinois","3,939",±411,270,±174,6.9%,±4.2
108.0,17019001080,001080,Census Tract 108,Census Tract 108,Census Tract 108,"Census Tract 108, Champaign County, Illinois","3,951",±359,298,±120,7.5%,±3.0
109.01,17019010901,010901,Census Tract 109.01,Census Tract 109.01,Census Tract 109.01,"Census Tract 109.01, Champaign County, Illinois","6,344",±501,384,±174,6.1%,±2.7
109.02,17019010902,010902,Census Tract 109.02,Census Tract 109.02,Census Tract 109.02,"Census Tract 109.02, Champaign County, Illinois","3,918",±378,199,±102,5.1%,±2.5
110.01,17019011001,011001,Census Tract 110.01,Census Tract 110.01,Census Tract 110.01,"Census Tract 110.01, Champaign County, Illinois","2,204",±477,196,±132,8.9%,±5.8
110.02,17019011002,011002,Census Tract 110.02,Census Tract 110.02,Census Tract 110.02,"Census Tract 110.02, Champaign County, Illinois","2,436",±550,440,±354,18.1%,±12.8
111.0,17019001110,001110,Census Tract 111,Census Tract 111,Census Tract 111,"Census Tract 111, Champaign County, Illinois","1,821",±269,836,±266,45.9%,±10.4
